"The @OfficialPDPNig congratulates Governor @MrUdomEmmanuel on this auspicious occasion and prays that God, in his i… https://t.co/WGEFznMSsk",1282335051108278272,140,2020-07-12 15:24:35,Twitter for iPhone,12,2
The party urged him to remain steadfast in his delivery of good governance to the people of Rivers state and Nigerians in general.,1282335049271119873,130,2020-07-12 15:24:35,Twitter for iPhone,18,3
Governor @MrUdomEmmanuel has also been exceptional in his commitment towards the growth and stability of our great… https://t.co/hsDf20KTcq,1282335047266242561,139,2020-07-12 15:24:34,Twitter for iPhone,7,2
"... rural development among others, in line with the manifesto of our great party.",1282335045412425728,82,2020-07-12 15:24:34,Twitter for iPhone,1,0
The @OfficialPDPNig is particularly proud of Governor @MrUdomEmmanuel for his achievements in human capital and inf… https://t.co/QYBoEWFdBb,1282335043537580032,140,2020-07-12 15:24:33,Twitter for iPhone,1,0
"Governor @MrUdomEmmanuel is indeed an outstanding leader, excellent administrator and quintessential democrat, who… https://t.co/LLC1z89KDi",1282335041696169984,139,2020-07-12 15:24:33,Twitter for iPhone,1,1
"PDP Salutes Akwa-Ibom Governor Udom At 54

The @OfficialPDPNig congratulates the Governor of Akwa-Ibom state, His E… https://t.co/CLjR9rn1ri",1282335039389392896,140,2020-07-12 15:24:32,Twitter for iPhone,112,19
The @OfficialAPCNg-led administration has distinguished itself as the worst and the most corrupt in the history of… https://t.co/7EhlgL88wY,1282332739421851650,139,2020-07-12 15:15:24,Twitter for iPhone,11,9
The @OfficialPDPNig however urge Nigerians not to despair but keep faith alive and continue to support one another in this perilous time.,1282332737379106819,137,2020-07-12 15:15:23,Twitter for iPhone,11,8
... for which Nigerians now resort to suicide and slavery mission abroad as options.,1282332735588237320,84,2020-07-12 15:15:23,Twitter for iPhone,6,4
It also explains why the @MBuhari administration cannot point to any concrete achievements in the last five years o… https://t.co/nwsAMRzI47,1282332733918851074,140,2020-07-12 15:15:23,Twitter for iPhone,3,5
"... increased morbidity rate, reduced life expectancy &amp; a despondent citizenry.",1282332730408210433,83,2020-07-12 15:15:22,Twitter for iPhone,1,3
This massive looting by the @OfficialAPCNg is responsible for the collapse of infrastructure in all sectors; a frig… https://t.co/XQpsT81XmE,1282332728617312256,140,2020-07-12 15:15:21,Twitter for iPhone,2,3
This is in addition to alleged stealing of repatriated funds and proceeds of huge multiple taxes imposed by the… https://t.co/fNQBF0FpRF,1282332726050410510,136,2020-07-12 15:15:21,Twitter for iPhone,1,3
More distressing are allegations that @OfficialAPCNg leaders are also looting part of the huge borrowings by the… https://t.co/ImQyFuUVA4,1282332724343328769,137,2020-07-12 15:15:20,Twitter for iPhone,1,4
... how resources meant for the development of our nation are being pillaged under the @OfficialAPCNg.,1282332722623545346,102,2020-07-12 15:15:20,Twitter for iPhone,2,3
"The latest revelation of massive looting in NDDC, as detailed by its former Managing Director, Joy Nunieh, as well… https://t.co/PJR8n85Nsu",1282332716726456320,139,2020-07-12 15:15:18,Twitter for iPhone,2,3
"... other agencies, which have been turned into ATM machines for @OfficialAPCNg leaders while Nigerians suffer neglect.",1282332715019370496,119,2020-07-12 15:15:18,Twitter for iPhone,2,3
This is in addition to the mindless looting in revenue related agencies including the Federal Inland Revenue Servic… https://t.co/p3G85mhcd2,1282332713110908930,140,2020-07-12 15:15:18,Twitter for iPhone,2,3
It equally explains why the @OfficialAPCNg administration had also failed to expose those behind the reported steal… https://t.co/k26JSHILQ1,1282332711370330113,140,2020-07-12 15:15:17,Twitter for iPhone,3,4
... just as no steps have been taken by the @OfficialAPCNg government to investigate and recover the money.,1282332708652417024,107,2020-07-12 15:15:16,Twitter for iPhone,2,3
This explains why the @OfficialAPCNg administration has failed to expose those involved in the wholesale stealing o… https://t.co/ZcPrEP1DFg,1282332706605604865,140,2020-07-12 15:15:16,Twitter for iPhone,2,4
... fingers at others while its real intention had always been to sweep the treasuries for their selfish gains.,1282332704839815168,111,2020-07-12 15:15:16,Twitter for iPhone,1,3
"From unfolding events, Nigerians are no longer in doubt that treasury looting is the official manifesto of the… https://t.co/GcJM8kejyU",1282332702448988163,135,2020-07-12 15:15:15,Twitter for iPhone,1,3
"The picture is becoming clearer on how @OfficialAPCNg leaders, in the last five years, siphoned and pocketed over N… https://t.co/PTQRCKMsEc",1282332697617203202,140,2020-07-12 15:15:14,Twitter for iPhone,3,3
... how its leaders are mercilessly plundering our economy while abandoning our citizens to a life of squalor.,1282332692948963328,110,2020-07-12 15:15:13,Twitter for iPhone,2,3
"Also, the recent revelations of widespread treasury looting, including the alleged allocation of billions of stolen… https://t.co/j3rO7Gp2bo",1282332691170549768,140,2020-07-12 15:15:12,Twitter for iPhone,2,4
... attempt by a cabal to delink certain of its officials from indictment in the saga.,1282332689442516993,86,2020-07-12 15:15:12,Twitter for iPhone,1,3
The @OfficialPDPNig says that the grandstanding by the @MBuhari Presidency in response to revelations of abuses and… https://t.co/ikxIm2KAan,1282332687211081730,140,2020-07-12 15:15:11,Twitter for iPhone,1,3
... directly responsible for the excruciating poverty and escalated insecurity being suffered by Nigerians in the last five years.,1282332685181104130,130,2020-07-12 15:15:11,Twitter for iPhone,1,3
"Corruption in Buhari Presidency, APC, Responsible for Poverty In Nigeria – PDP...Says Treasury Looting Is APC’s Man… https://t.co/mCYJRvQLPf",1282332679795613697,140,2020-07-12 15:15:10,Twitter for iPhone,99,42
"RT @GovernorObaseki: #LetsGOFurtherTogether 
#EdoCares 
#EdoFightsCOVID19 
#EDOCovid19Response https://t.co/pL9GCuVHw0",1282271470589292551,118,2020-07-12 11:11:56,Twitter for iPhone,0,17
"RT @GovernorObaseki: World Environment Day: Obaseki makes case for biodiversity, environmental protection, others - https://t.co/e9HlbQKibD…",1282271451140239360,140,2020-07-12 11:11:52,Twitter for iPhone,0,24
RT @MrUdomEmmanuel: #GovUdomAt54  A cross section of Akwa Ibom people express their love to Governor Udom Emmanuel on his birthday https://…,1282271306776563712,140,2020-07-12 11:11:17,Twitter for iPhone,0,31
RT @seyiamakinde: 4. Please call the Emergency Operations Centre on 08095394000 | 08095863000 | 08078288999 | 08078288800 or visit a commun…,1282271173385084930,140,2020-07-12 11:10:45,Twitter for iPhone,0,31
"RT @seyiamakinde: 3. Sadly, we had one COVID-19 related death in the state. So, the total number of deaths in Oyo State is twenty-one.",1282271163138347008,134,2020-07-12 11:10:43,Twitter for iPhone,0,30
"RT @seyiamakinde: 2. Also, the COVID-19 confirmation tests for seventeen suspected cases came back POSITIVE. The cases are from Ibadan Nort…",1282271152560381952,140,2020-07-12 11:10:40,Twitter for iPhone,0,31
"RT @seyiamakinde: OYO STATE COVID-19 TASK FORCE UPDATE (for July 11, 2020)

1. Sixty-seven confirmed COVID-19 cases received their second N…",1282271140602359808,140,2020-07-12 11:10:38,Twitter for iPhone,0,84
"RT @DSGovernment: Mr. Zion Oshiobugie, an advocate for educating under privileged children is our Luminary of the Month. #StrongerDelta htt…",1282271061762088960,140,2020-07-12 11:10:19,Twitter for iPhone,0,78
"RT @IAOkowa: On behalf of the government and people of Delta State, I heartily rejoice with an outstanding professional, seasoned administr…",1282270955629412354,140,2020-07-12 11:09:53,Twitter for iPhone,0,115
"RT @IAOkowa: Remember that the Holy Bible teaches us to remain steadfast and not give up in times of trouble.

Have a very Happy Sunday eve…",1282270940286595073,140,2020-07-12 11:09:50,Twitter for iPhone,0,125
... screened to avoid the ills and violations experienced under the suspended acting Chairman.,1282009765791637505,94,2020-07-11 17:52:01,Twitter for iPhone,27,5
What Nigerians expect at this time is for the Federal Government to ensure Magu's prosecution in court as well as t… https://t.co/LFAxptz8FE,1282009763648360448,140,2020-07-11 17:52:00,Twitter for iPhone,30,8
"Furthermore, the @OfficialPDPNig also urges an investigation into the alleged connection between the indicted… https://t.co/EBzcda3L7I",1282009761433759744,134,2020-07-11 17:52:00,Twitter for iPhone,7,4
"... Magu lacks the required discipline, exposure and experience to head an agency like the @officialEFCC",1282009759273619456,104,2020-07-11 17:51:59,Twitter for iPhone,4,3
"Moreover, the memo by the Attorney General of the Federation and Minister of Justice, Abubakar Malami, detailing ch… https://t.co/hxpZXphR10",1282009756689989632,140,2020-07-11 17:51:59,Twitter for iPhone,4,3
"Nigerians can recall that under Magu, the former National Chairman of the @OfficialAPCNg,  Adams Oshiomhole was bol… https://t.co/WreJJXV90w",1282009754286661632,140,2020-07-11 17:51:58,Twitter for iPhone,4,4
"... including those who have been openly indicted for corruption, has been prosecuted by the @officialEFCC",1282009752151752704,106,2020-07-11 17:51:58,Twitter for iPhone,3,3
The @OfficialPDPNig lamented that Magu has destroyed the integrity of the anti-corruption agency with his manifest… https://t.co/k2CFOrn2q6,1282009749819662349,139,2020-07-11 17:51:57,Twitter for iPhone,4,3
"Similarly, there are several cases of officers and ranks of the commission whose employment in the service were unj… https://t.co/4UJudws4Kn",1282009747319816196,140,2020-07-11 17:51:57,Twitter for iPhone,6,3
... boss was also harassing certain judges to get conviction on cases.,1282009745256329220,70,2020-07-11 17:51:56,Twitter for iPhone,6,3
"There are also allegations of violation of rights, including allegedly making his victims to make statements in cus… https://t.co/QwBx8PF1LR",1282009743075291142,140,2020-07-11 17:51:55,Twitter for iPhone,5,3
... innocent Nigerians are harassed with trumped-up charges and convicted on media trial even before being allowed… https://t.co/Avl3E8NvH4,1282009740835459072,139,2020-07-11 17:51:55,Twitter for iPhone,5,3
The @OfficialPDPNig states that Magu should be made to provide answer to allegations in the public space that he wa… https://t.co/6Rxtk8hDLK,1282009738713149442,140,2020-07-11 17:51:54,Twitter for iPhone,5,3
... manipulation of court procedures as well as a vehicle to harass and extort money from innocent Nigerians.,1282009736607653888,109,2020-07-11 17:51:54,Twitter for iPhone,5,3
The party described Magu as not only being unfit to lead an agency like the @officialEFCC but had also reduced the… https://t.co/YYiQ4AhbV6,1282009734485336065,139,2020-07-11 17:51:53,Twitter for iPhone,6,3
"... rules, victimization of Nigerians and stealing of recovered funds for which he has been suspended.",1282009732358774785,102,2020-07-11 17:51:53,Twitter for iPhone,8,3
