"We listened to their cries and restored their hopes.

3 years into President Buhari’s administration, Pensioners wh… https://t.co/HBaWAKxT61",1093474620617998336,140,2019-02-07 11:40:39,Twitter for iPhone,470,220
12. Kwara state has suffered enough backwardness and under-development resulting from the selfish grip of a self-ap… https://t.co/L0UjofezjQ,1093190736982491137,140,2019-02-06 16:52:36,Twitter for iPhone,51,15
"11. We reiterate that a new and progressive Kwara beckons. Through their votes, the Kwara electorate will decide on… https://t.co/J0DnDqag92",1093190734084169729,140,2019-02-06 16:52:36,Twitter for iPhone,30,9
"10. Let it be known that  our party, APC, has not copied such dubious template.",1093190731009789952,79,2019-02-06 16:52:35,Twitter for iPhone,10,6
"9. It is clear that @bukolasaraki , the @OfficialPDPNig, and their cronies are recollecting their usual practice of… https://t.co/JhdYT32Kzx",1093190728103198720,140,2019-02-06 16:52:34,Twitter for iPhone,11,7
"8. However, we understand that people’s fears are oftentimes their own weakness.",1093190725800546304,80,2019-02-06 16:52:34,Twitter for iPhone,10,7
"7. We believe that leaders, with a modicum of honour, should not thread on the path of cowardice by hiding under ne… https://t.co/hX0FLDaZsG",1093190722969321474,140,2019-02-06 16:52:33,Twitter for iPhone,9,7
"6. ..in the childish conspiracies and spurious allegations contained in the statement.
 
It should also be noted th… https://t.co/98v8Ag4mQy",1093190720377286656,140,2019-02-06 16:52:32,Twitter for iPhone,9,7
"5. For the umpteenth time, we would reiterate that the APC National Chairman, Comrade Adams Oshiomhole and indeed o… https://t.co/RSWQnmBHFH",1093190717512536064,140,2019-02-06 16:52:32,Twitter for iPhone,11,7
"4. However, since the group has issued the statement as a decoy for him, we would direct our reactions directly to their paymaster.",1093190714685616128,131,2019-02-06 16:52:31,Twitter for iPhone,9,6
"3. Ordinarily, the All Progressives Congress (APC) wouldn't respond to a group of charlatans running errands for th… https://t.co/6qsnEHuh3s",1093190711757996032,140,2019-02-06 16:52:30,Twitter for iPhone,8,5
2. A nebulous group which parades itself as a Coalition of United Political Parties (CUPP) has made some laughable… https://t.co/gitjze9jQT,1093190709446934528,139,2019-02-06 16:52:30,Twitter for iPhone,10,8
"1. Re: Spurious Allegations By @bukolasaraki , @OfficialPDPNig -Sponsored Group",1093190706095669248,79,2019-02-06 16:52:29,Twitter for iPhone,69,32
"February 8th,2019 is the last day for collection of PVCs.

Get your toolkit (PVC)! 
Let’s continue moving Nigeria t… https://t.co/ZD3vxHvAt7",1093170105683492865,140,2019-02-06 15:30:37,Twitter for iPhone,93,36
"From time immemorial, Nigerians have used the broom to sweep out filths from their homes. 
Every household in Niger… https://t.co/83gJiE4Qot",1093136620017106944,140,2019-02-06 13:17:34,Twitter for iPhone,299,102
"Ondo Ẹ ṣé 
#NextLevelNigeria #NextLevel #APC #SaiBaba https://t.co/TELYPTQMDt",1092907013628223493,77,2019-02-05 22:05:11,Twitter for iPhone,302,77
"The message is loud and clear!

Ekiti is ready for the #NextLevel https://t.co/9pLAijmubv",1092840256485969922,89,2019-02-05 17:39:55,Twitter for iPhone,553,155
13. ..we urge @atiku to come clean to Nigerians on his problems. This is the least he owes an electorate he wishes… https://t.co/m1jYtnP7GC,1092806711763783681,139,2019-02-05 15:26:38,Twitter for iPhone,29,9
"12. Again, in the wake of the recent Reuters report that Atiku visited the US two weeks ago thanks to heavily paid… https://t.co/xbYtvQ8hae",1092806709645582336,139,2019-02-05 15:26:37,Twitter for iPhone,29,9
"11. Our free advice to the PDP is that it concentrates its energy to resuscitate its floundering campaign, which ha… https://t.co/fatUiYv2yd",1092806707099717632,140,2019-02-05 15:26:36,Twitter for iPhone,14,9
10. They must not be stampeded into taking actions that run contrary to the Constitution and the Electoral Act.,1092806704901832705,111,2019-02-05 15:26:36,Twitter for iPhone,12,8
"9. Against this backdrop, we urge @inecnigeria and other state institutions responsible for different election duti… https://t.co/QYwM9soG9c",1092806702989262849,140,2019-02-05 15:26:36,Twitter for iPhone,13,9
"8. We will continue in our progressive tradition in ensuring that elections are free, peaceful credible and every v… https://t.co/XwqLOAMPTC",1092806700992811008,140,2019-02-05 15:26:35,Twitter for iPhone,15,8
7. The era of sham elections are behind us. The records of credible elections conducted since the APC took over the… https://t.co/ePIqYeUCUZ,1092806698606256131,140,2019-02-05 15:26:34,Twitter for iPhone,14,8
6. @OfficialPDPNig must understand that all registered political parties are equal stakeholders in the coming elect… https://t.co/srpR0GmaXQ,1092806696483897344,140,2019-02-05 15:26:34,Twitter for iPhone,15,8
"5. The PDP’s game plan is simple: Discredit the entire process before, during, and after the elections in order to… https://t.co/cqW0OIuEPO",1092806694428659712,139,2019-02-05 15:26:33,Twitter for iPhone,16,10
4. PDP’s ignoble actions are unhealthy for our electoral processes and a threat to our maturing democracy.,1092806691995951110,106,2019-02-05 15:26:33,Twitter for iPhone,13,9
